year,column,response,count,total_count,ci_lower_normal,ci_upper_normal,ci_lower_agresti_coull,ci_upper_agresti_coull,ci_lower_beta,ci_upper_beta,ci_lower_wilson,ci_upper_wilson,ci_lower_jeffreys,ci_upper_jeffreys,ci_lower_binom_test,ci_upper_binom_test
2024,BIN.MINORITY_CURRENT_COUNTRY,No,3643,5095,0.7026197725087066,0.7274096681193601,0.702460333898701,0.727245123251707,0.7024008927915695,0.7273817757422298,0.7024613919134495,0.7272440652369585,0.702500254978203,0.7272849792499767,0.7024645953394646,0.7272945189211121
2024,BIN.MINORITY_CURRENT_COUNTRY,Not sure,314,5095,0.05502582447600201,0.06823227169671635,0.05534208221051854,0.06857654987945276,0.05518034283317864,0.0685853983415576,0.05535032301473531,0.06856830907523599,0.05527351266079168,0.06848241338858571,0.05532374383887473,0.0685720029582842
2024,BIN.MINORITY_CURRENT_COUNTRY,Prefer not to say,322,5095,0.05651799970028602,0.06988043013288374,0.05683341243400612,0.0702231873941699,0.05667162364529209,0.07023252069282732,0.056841499257113834,0.07021510057106213,0.056764868149928344,0.07012961025944905,0.056795150356233906,0.07029141059969474
2024,BIN.MINORITY_CURRENT_COUNTRY,Yes,816,5095,0.1500865863092572,0.17022744705678794,0.1503399101436118,0.1704861975187053,0.1501852796644773,0.17051971766098672,0.1503431621675018,0.17048294549481527,0.15028086326245593,0.17041914318736734,0.15032075463494643,0.17063240420958808
2017,BIN.MINORITY_HOMECOUNTRY,No,674,854,0.7618727478504939,0.8165815847021993,0.7605776342793389,0.8152863495844389,0.7603115435133203,0.816130754602762,0.7606081759862938,0.8152558078774842,0.760922755447526,0.8155750499810765,0.7606261439167081,0.8156900602400501
2017,BIN.MINORITY_HOMECOUNTRY,Not sure,39,854,0.031666017326851495,0.05966887728673165,0.03343935633505736,0.06196458804087028,0.032672398102529934,0.061902849644912855,0.033584555446973696,0.061819388928953944,0.03317071166765889,0.061234735811679514,0.03318268109824005,0.0618967551532617
2017,BIN.MINORITY_HOMECOUNTRY,Prefer not to say,27,854,0.019880578432635514,0.043351271684460506,0.02163527216551421,0.04579147461379264,0.02093636883271365,0.045667783140624134,0.021817956628275535,0.045608790151031316,0.021415162792608817,0.04498052267577669,0.0214656053504935,0.045509215607742126
2017,BIN.MINORITY_HOMECOUNTRY,Yes,114,854,0.1106792362877794,0.15629968642884826,0.11225383178155728,0.15800759757325034,0.11138961208773818,0.15815258474319305,0.11231251752780821,0.1579489118269994,0.11193088684776345,0.1575270002320447,0.11166857656754442,0.15796168457817816
2024,BIN.MINORITY_HOMECOUNTRY,No,1110,1582,0.6790974187379272,0.7241895597702902,0.6786257123478909,0.7236843650254468,0.6784220094986506,0.7241142115197086,0.6786309951052971,0.7236790822680403,0.6787443335262265,0.7238055923114355,0.6786038231148854,0.7238085607669044
2024,BIN.MINORITY_HOMECOUNTRY,Not sure,102,1582,0.052373008604982396,0.07657768671739434,0.05335104829344103,0.07770963098483612,0.05287444198328496,0.0777227143351062,0.05339671587284447,0.07766396340543266,0.05316234173217648,0.0773797367227537,0.05327811245902687,0.0776701372904115
2024,BIN.MINORITY_HOMECOUNTRY,Prefer not to say,84,1582,0.04204806658771148,0.06414662367777524,0.04303845229293112,0.06532134487650565,0.0425704212574905,0.06531894835520541,0.043091041912434014,0.06526875525700275,0.042854906957176524,0.06497258057322396,0.042892253120482664,0.06533747034721685
2024,BIN.MINORITY_HOMECOUNTRY,Yes,286,1582,0.1618200824380679,0.1997475534658512,0.16258481376301448,0.20052932707229754,0.16211002661340915,0.2006501371789297,0.16260053983945455,0.2005136009958574,0.16241259958254,0.20032177530305287,0.16238793565670867,0.20063786409348822
2017,BIN.PROVIDED_HELP,No,964,3450,0.26444730009708034,0.29439327961306455,0.26469694469537103,0.2946343048288375,0.2644944028389972,0.2947208511577569,0.2646989530991147,0.29463229642509386,0.2646368324151442,0.2945736706420411,0.2646178002683012,0.29462093119626664
2017,BIN.PROVIDED_HELP,Yes,2486,3450,0.7056067203869354,0.7355526999029196,0.7053656951711624,0.7353030553046289,0.7052791488422431,0.7355055971610027,0.7053677035749061,0.7353010469008853,0.7054263293579589,0.7353631675848558,0.7053790688037329,0.7353821997316987
2024,BIN.PROVIDED_HELP,No,963,2049,0.44837493860713984,0.49159577881599337,0.44845118782105686,0.49163186171426354,0.448186995719355,0.4918697181868042,0.44845126074089975,0.49163178879442054,0.4484300355555561,0.49162540909222585,0.4482598109109216,0.491702100575357
2024,BIN.PROVIDED_HELP,Yes,1086,2049,0.5084042211840065,0.5516250613928602,0.5083681382857365,0.551548812178943,0.5081302818131959,0.5518130042806451,0.5083682112055794,0.5515487392591001,0.5083745909077741,0.5515699644444438,0.5082978994246431,0.5517401890890791
2017,BIN.RECEIVED_HELP,No,1007,3455,0.2763087254183313,0.30661457414751536,0.2765452095959003,0.30684130373353263,0.2763456617807173,0.3069312873215304,0.27654697831566394,0.3068395350137691,0.27648804475771405,0.3067844788984108,0.27639129972006193,0.30692979674916565
2017,BIN.RECEIVED_HELP,Yes,2448,3455,0.6933854258524846,0.7236912745816687,0.6931586962664674,0.7234547904040997,0.6930687126784696,0.7236543382192827,0.693160464986231,0.7234530216843361,0.6932155211015891,0.723511955242286,0.6930702032508343,0.7236087002799381
